Uni,Email address,Gender,Last Name,First Name
sp4906,praga.nitt@gmail.com,0,Suresh,Pragadeesh
ps4924,sam141094@gmail.com,0,Pai,Samruddhi
gg6041,gaurav.g101@gmail.com,1,Gandhi,Gaurav
sv4049,venkatasaitarunu@gmail.com,1,SAI,VENKATA
tg3294,grishma.thkkr@gmail.com,1,Thakkar,Grishma
aa9229,abhinnankit@hotmail.com,0,Ankit,Abhinn
dc9802,chirayudesai99@yahoo.co.in,1,Desai,Chirayu
aa9060,abhishekahuja02@gmail.com,1,Ahuja,Abhishek
kn2201,kanetkar.ninad@gmail.com,0,Kanetkar,Ninad
kp9016,prasannakumarch7@gmail.com,1,Kumar,Prasanna
as1859,savarkarsagar27@gmail.com,0,Asheley,Sagar
as4650,kulkarnisaurabh95@gmail.com,1,Asheley,Saurabh
ma1527,amanmankar11@gmail.com,0,Mankar,Aman
sa7408,anupsrivastava67@gmail.com,1,Srivastava,Anup
sg8678,ganeshsurada29@gmail.com,1,surada,ganesh
bn1065,bhargvnaman@gmail.com,1,Bhargava,Naman
sv9161,vrs1211@hotmail.com,0,Singh,Vikas
rp5719,prashantreddy069@gmail.com,0,Reddy,Prashant
sp5902,poojithshtt@gmail.com,1,Shankar,Poojith
rp6369,prashantreddy069@gmail.com,1,Reddy,Prashant
sv1383,vipulsharma018@gmail.com,1,Sharma,Vipul
aa2693,aparnasharma285@gmail.com,1,Asheley,Aparna
an6698,nishitajmera9@gmail.com,1,Ajmera,Nishit
as6573,withsumanth@gmail.com,1,Asheley,Sumanth
tk9063,karantyagi11karantyagi11@gmail.com,0,Tyagi,Karan
sp9768,ps5579611@gmail.com,0,singh,Prashant
es1571,eswaran.santhosh@gmail.com,0,Eswaran,Santhosh
rv5933,vaibhavr4@gmail.com,1,Rangarajan,Vaibhav
se5427,elattp@gmail.com,1,Sethuraman,Elavazhagan
sa2850,amoghshejwal17@gmail.com,0,Shejwal,Amogh
ma6174,animeshmane@gmail.com,1,Mane,Animesh
st3137,sinha.tsinha@gmail.com,1,Sinha,Tanmay
kp6099,paarthkotak@gmail.com,1,Kotak,Paarth
pk7809,kavya.bhagya.prakash@gmail.com,0,PRAKASH,KAVYA
ts8385,shweta.tatiya291@gmail.com,1,Tatiya,Shweta
ya4051,19akashyadav19@gmail.com,1,Yadav,Akash
pv6648,vishnu.vizz@gmail.com,1,Prasad,Vishnu
jn2775,jain21.nupur@gmail.com,1,jain,Nupur
ru7835,urvimaru20.um@gmail.com,0,Rakesh,Urvi
kk8840,karthik.charlie@gmail.com,1,keshava,karthik
mc7429,chetan.mj4u@gmail.com,0,M,Chetan
ba3713,bhatia.aks@huaky.neu.edu,1,Bhatia,Akshat
ta3517,akshthakkar0696@gmail.com,1,Thakkar,Aksh
ma6155,alaymehta12@gmail.com,1,Mehta,Alay
np4499,punithnarayan.mr@gmail.com,1,Narayanaswamy,Punith
vs5658,sanchitchavan777@gmail.com,0,vilas,sanchit
rv5160,cvvijaybalaji@gmail.com,1,Richard,Vijayaballaji
ms2444,shalabh.jiit35@gmail.com,1,MITTAL,SHALABH
rp2307,pavithran38@pec.edu,1,Ramachandran,Pavithran
va8630,anubhuti.vyas.28@gmail.com,1,Vyas,Anubhuti
aa3102,apurva.a.landge@gmail.com,1,Avinash,Apurva
vn5940,neelambari.verma@gmail.com,1,Verma,Neelambari
sa8070,shahaanchal94@gmail.com,1,shah,Aanchal
vh8287,hiralvora9513@gmail.com,1,Vora,Hiral
aa6216,athreyaabhijith@gmail.com,1,Athreya,Abhijith
gj3943,jhalak.gupta4@gmail.com,0,Gupta,Jhalak
sk7938,kavithasivakumar1207@gmail.com,1,Sivakumar,Kavitha
sa7548,abhidiptosengupta90@gmail.com,0,Sengupta,Abhidipto
as1353,shlok.gandhi@gmail.com,1,A,Shlok
pr2060,roshanpshajan@gmail.com,1,P,Roshan
ra6044,ash9505@gmail.com,1,Ramesh,Ashwinvignesh
sc1454,chiragshivnani@gmail.com,0,shivnani,Chirag
ss1087,shekhawat.s@husky.neu.edu,1,Shekhawat,Shefali
tr1026,rtrahultyagi@gmail.com,0,tyagi,Rahul
pt9739,taashipriya12@gmail.com,1,Priya,Taashi
nr1858,rajashreenaik14@gmail.com,0,Naik,Rajashree
ga5333,anubhav.gupzz10@gmail.com,1,Gupta,Anubhav
st6179,senapatitanmay@gmail.com,0,Senapati,Tanmay
vm2978,ma0jvenkatesan93@gmail.com,0,venkatesan,Ma0j
jd5161,darshan95jain@gmail.con,0,jain,Darshan
ys4367,montyhps@gmail.com,1,yashasvi,Sai
gp6728,pradeepagopinath19@gmail.com,0,Gopinath,Pradeepa
as7370,sameerdesai592@gmail.com,1,Asheley,Sameer
es7770,eswaran.santhosh@gmail.com,1,Eswaran,Santhosh
am8280,mm19932007@gmail.com,1,Asheley,Monica
mp6485,prasadchelsea33@gmail.com,1,Madhale,Prasad
gh5321,harshithgc@gmail.com,1,Gowli,Harshith
kv5549,vinyasktr@gmail.com,0,kaushik,Vinyas
kr6135,ravi.kri14@gmail.com,1,Krishnan,Ravi
cp5416,pallav.j.choudhary@gmail.com,0,Choudhary,Pallav
ns6195,suyashnarkhede@gmail.com,0,Narkhede,Suyash
gs1838,sahilgandhi94@gmail.com,1,Gandhi,Sahil
sk3378,suwarna.mgm@gmail.com,0,Suwarna,K.
cs8399,sarathchandra96@gmail.com,1,chandra,sarath
sd3920,padhideepak89@gmail.com,1,Suryakant,Deepak
ks3956,shi777shir@gmail.com,0,Kurhade,Shishir
pi3826,i@ishanpatel.in,1,Patel,Ishan
ss2636,sohamsheth1995@gmail.com,0,Sheth,Soham
dj7578,jdoshi1995@gmail.com,1,Doshi,Jay
as5839,sharayu6018@gmail.com,1,Asheley,Sharayu
gn1120,namrata_ghag94@yahoo.com,0,Ghag,Namrata
ss7594,sohamsheth1995@gmail.com,1,Sheth,Soham
ar9487,rishabmalik121@gmail.com,0,Asheley,Rishab
mt9305,tejasmu0t94@gmail.com,1,Mu0t,Tejas
mr6305,rahulmotan01@gmail.com,1,Motan,Rahul
sd2742,dhrumil2494@gmail.com,0,Sanjay,Dhrumil
cs9764,sangeethac2505@gmail.com,1,Chandrashekar,Sangeetha
mk6355,krrishmittal15@gmail.com,0,Mittal,Krrish
dk3942,davekartik24@gmail.com,1,Dave,Kartik
nj2489,jhansinair@gmail.com,1,Nair,Jhansi
ss6088,soumyadeep.sinha2011@gmail.com,1,sinha,Soumyadeep
sh4146,shardik95@gmail.com,1,Shah,Hardik
ps4658,sanjanapanicker12@gmail.com,0,Panicker,Sanjana
an3460,neha91192@gmail.com,0,Asheley,Neha
sv4994,mscivilvishalshah@gmail.com,1,Shah,Vishal
ta7936,aashish.thyagarajan@gmail.com,1,Thyagarajan,Aashish
pt2928,tejasparab890@gmail.com,1,Parab,Tejas
cr2457,rishi.chopra25@gmail.com,0,Chopra,Rishi
nb7160,pbhargavi65@gmail.com,0,Nilesh,Bhargavi
sk3539,kevalshah10694@gmail.com,1,shah,keval
ha4913,akhil.d26@gmail.com,1,Hegde,Akhilesh
gu1379,ganla.utkarsha@gmail.com,0,Ganla,Utkarsha
bk9719,kousthub93@gmail.com,1,B,Kousthubh
gv4354,vikas.gupta@ves.ac.in,0,Gupta,Vikas
rr9006,rachna_reddy93@yahoo.in,1,Reddy,Rachna
ms9492,suhamurali93@gmail.com,0,Murali,Suhasini
ss1568,shashwat.j.shetty@gmail.com,1,Shetty,Shashwat
ra2245,akshdeep.r@gmail.com,1,Rungta,Akshdeep
rv1150,varsharaom@gmail.com,1,Rao,Varsha
sv2214,mavishalsurya@yahoo.in,1,surya,Vishal
ks7880,sumedhkulkarni7@gmail.com,0,Kulkarni,Sumedh
km3506,mansi.kulkarni29@gmail.com,0,kulkarni,Mansi
pm2629,manishpatilandroid@gmail.com,1,Patil,Manish
ma1586,modianvi@gmail.com,1,Modi,Anvi
ga5675,ashwinigiri06@gmail.com,0,Giri,Ashwini
sn4465,work.nishchayshah@gmail.com,1,Shah,Nishchay
ph4246,haritaprakash16@gmail.com,0,Prakash,Harita
rg9380,gaurav.chattarki@gmail.com,1,Raj,Gaurav
md5182,deep.mehta29492@gmail.com,0,Mehta,Deep
pk9912,kspatil007@gmail.com,0,Patil,Kunal
pr8166,ramprakash.94@gmail.com,1,Prakash,Ram
bk6546,bagdadi_kashif@yahoo.co.in,0,Bagdadi,Kashif
rk6036,kritesh.nie@gmail.com,0,Ritesh,Kumar
rh9351,harshrp2511@gmail.com,0,Rajesh,Harsh
rh6454,harshrp2511@gmail.com,1,Rajesh,Harsh
ks2140,koltesanket1@gmail.com,1,Kolte,Sanket
gm6527,mitisha6@gmail.com,0,Ganesha,Mitisha
hv9148,mail.varun09@gmail.com,0,Himmatramka,Varun
tr7485,rohsan7@gmail.com,0,Taori,Rohan
vs3493,swagathdeepu@gmail.com,1,V,Swagath
rv7935,vigneshiyer1991@gmail.com,0,Raghuraman,Vignesh
sk9573,krups057@gmail.com,0,Sundararajan,Krupashankar
sh2899,himanshu.saraswat01@gmail.com,1,Saraswat,Himanshu
sa8187,ashishsinghal1995@gmail.com,0,Singhal,Ashish
dg2187,gaurangdavda@yaboo.in,1,Davda,Gaurang
bv5676,venkataramananbj@gmail.com,1,BJ,Venkataramanan
gp4375,gautampratyaksh@gmail.com,0,Gautam,Pratyaksh
sa4359,ashmeet.pahwa7@gmail.com,1,Singh,Ashmeet
hm2753,murtazahaji2@gmail.com,1,Haji,Murtaza
ja8764,advaitjoshi27@gmail.com,0,Joshi,Adwait
sa9313,aatish333@gmail.com,1,Shah,Aatish
ns5842,suyashnarkhede@gmail.com,0,Narkhede,Suyash
ka9207,aniruddha11me010@gmail.com,1,K,Aniruddha
rn7832,namratha.nagendra.rao@gmail.com,0,R,Namratha
rs5970,rasalkar.s@husky.neu.edu,1,Richard,Sthitapradyna
zr1910,rahulzzore@gmail.com,0,Zore,Rahul
ka1027,kapur.anu@husky.neu.edu,0,Kapur,Anuj
aa4998,ajjanabhilash@gmail.com,0,Ajjan,Abhilash
lk1791,karishmalad19@gmail.com,1,Lad,Karishma
ja8982,aditya11.joshi@gmail.com,0,Joshi,Aditya
ss1484,shubhi04@gmail.com,1,Sharma,Shubhi
ad2994,dharits3@gmail.com,1,Asheley,Dharit
sj8437,jaisoni@live.com,1,Soni,Jai
ds9167,shiv.desai95@gmail.com,1,Desai,Shiv
sr6221,shahronakgre@gmail.com,1,Shah,Ronak
ds3614,siddharthdhar1995@gmail.com,1,Dhar,Siddharth
nj7764,javed.nihaz@gmail.com,0,Nihaz,Javed
sr7940,rahilshah10@gmail.com,1,Shah,Rahil
ss9906,sknt888@yahoo.com,0,Swamy,Srikant
bk1035,karanbarai69@gmail.com,1,barai,Karan
mv1385,vignesh.switchfoot@msn.com,0,Murali,Vignesh
ma1695,adityamasurkar26@gmail.com,0,Masurkar,Aditya
ad8546,sanghavi.darshan24@gmail.com,1,Asheley,Darshan
pg5220,gideonpinto123@gmail.com,1,Pinto,Gideon
gt7400,tushar_1907@hotmail.com,1,Gupta,Tushar
dj4139,j.dedhia94@gmail.com,1,Dedhia,Jigar
ln9060,neellele95@gmail.com,0,Lele,Neel
yg6513,gauriforeveryoung@gmail.com,0,Yadav,Gauri
pg5376,chavan.gauri05@gmail.com,1,Prakash,Gauri
ds4109,sdeosthale.006@gmail.com,1,Deosthale,Shantanu
sd4609,dharits3@gmail.com,1,shah,Dharit
ps2849,shruti1605@yahoo.co.in,0,Parpattedar,Shruti
am7219,moharya@gmail.com,1,Arya,Mohit
ga1098,abhishekgharal@gmail.com,1,Gharal,Abhishek
pd7532,divyapriya1010@gmail.com,1,Priya,Divya
sr6404,rahul.ksinha24@gmail.com,0,Sinha,Rahul
gh9295,harshithgc@gmail.com,0,Gowli,Harshith
tm2323,m.tarmale@gmail.com,1,Tarmale,Mayur
vv5729,varun.vmurthy@gmail.com,0,V,Varun
ml4923,likhitm.1010@gmail.com,1,MAHADEVASWAMY,LIKHIT
mr6450,philip.r@husky.neu.edu,0,Mathew,Reuben
pn2781,nitin.prince.r@gmail.com,0,Prince,Nitin
ss7884,shreyanshissingh@gmail.com,1,Singh,Shreyansh
pp6230,pratik.parija@gmail.com,0,Parija,Pratik
jm2110,mansijain2895@gmail.com,0,Jain,Mansi
ga8954,amish132@gmail.com,0,Garhwal,Amish
nk3138,nandakrunal@gmail.com,0,Nanda,Krunal
hh5925,hasher94.mec@gmail.com,1,Hamza,Hasher
ka4840,aeshna.kapoor8998@gmail.com,0,kapoor,Aeshna
nr7252,rishi.nandedkar93@gmail.com,1,Nandedkar,Rishi
ga5110,ayush_61@ymail.com,0,Gupta,Ayush
sn3195,nidhisarode1995@gmail.com,1,Sarode,Nidhi
ws9798,shardulwagh08@gmail.com,1,Wagh,Shardul
sa3413,srivastava.ans@husky.neu.edu,0,Srivastava,Anshit
vd1170,deekshitha1701@gmail.com,0,V,Deekshitha
jh5004,hardikbsjain@gmail.com,0,Jain,Hardik
da1350,ankushdeora@gmail.com,1,Deora,Ankush
ri7674,ivan.rfernando@gmail.com,1,Roger,Ivan
da2346,amey.d19@gmail.com,0,Dongre,Amey
rs9351,shreyreddy92@gmail.com,0,Reddy,Shreyanth
po8137,ophansekar93@gmail.com,0,Phansekar,Ojas
ka6122,ajinkyakunjir16@gmail.com,0,Kunjir,Ajinkya
sb7840,bshah267@gmail.com,0,Shah,Bhavik
ma2451,anktmhatre@gmail.com,0,Mhatre,Ankita
ak1738,karavindkumar1993@gmail.com,1,Aravind,K
ms8926,syedmeesam85@gmail.com,0,Meesam,Syed
sd8107,danish9412@gmail.com,1,Siddiqui,Danish
ap5526,psalone17@gmail.com,0,Alone,Pooja
am9154,meghana.cse11@gmail.com,1,Asheley,Meghana
dv9430,dhanwaniviveck@gmail.com,1,Dhanwani,Viveck
hv7697,hvaishnavi18@gmail.com,0,Hire,Vaishnavi
lv6974,vlasioslampiris@gmail.com,1,Lampiris,Vlasios
ss1398,suyogsathe7@gmail.com,0,Sunil,Suyog
gn7756,nikithagandra@gmail.com,0,gandra,Nikitha
gh1514,hiteshgarani08@gmail.com,0,Garani,Hitesh
dv2398,viralpatel00731@gmail.com,1,D,Viral
st3045,tejassalian@gmail.com,1,Salian,Tejas
dk7037,kartikeydave94@gmail.com,0,Dave,Kartikey
av8275,ahvyas23@gmail.com,1,abhi,Vyas
ph5558,harsha.poddar@yahoo.com,1,poddar,Harshvardhan
ky3984,yashkhopkar@gmail.com,1,Khopkar,Yash
bb5827,bhavika.bagaria@gmail.com,0,Bagaria,Bhavika
hb4502,hirani.brijesh@gmail.com,1,Hirani,Brijesh
ns9728,ssnavalakha@gmail.com,1,Navalakha,Sanket
sr7420,rishika.sinha8@gmail.com,0,Sinha,Rishika
jn4918,college.nupur@gmail.com,1,Jain,Nupur
av1307,kulkarnivishwambhar@gmail.com,1,Asheley,Vishwambhar
pn7464,patelneel1195@gmail.com,1,Patel,Neel
rg1447,gaurav.chattarki@gmail.com,1,Raj,Gaurav
ls6352,suyashlokhande@gmail.com,0,lokhande,suyash
wa6279,anuwaikar03@gmail.com,0,Waikar,Anuja
bm1436,baserrmohit@gmail.com,0,Baser,Mohit
pa3957,aparikh53@gmail.com,1,Piyush,Akash
ma5320,adityamodi46.nmims@gmail.com,1,Modi,Aditya
pp8702,ibands77@gmail.com,1,Pandya,Parth
kr1273,renukakoranne@gmail.com,1,Koranne,Renuka
aa9330,anupriya.adp@gmail.com,0,Asheley,Anupriya
ap1874,pkashyapp91@gmail.com,1,Asheley,Pallavi
rv6764,vikram.bharadwajr@gmail.com,0,Ramesh,Vikram
bh3066,harshbansal1993@gmail.com,0,Bansal,Harsh
ts2065,sakshitonwer04@gmail.com,1,Tonwer,Sakshi
nr4857,naik.rohan2311@gmail.com,1,Naik,Rohan
pv4960,vignesh.pkumar95@gmail.com,0,Pradeepkumar,Vignesh
vn4787,nityashree.s21@gmail.com,0,V,Nityashree
dc4017,clarencedsilva24@gmail.com,0,D'Silva,Clarence
ga6400,akashgund13@gmail.com,0,gund,akash
tp8309,prathameshtari04@gmail.com,0,Tari,Prathamesh
ks9263,samkitkamdar@gmail.com,1,Kamdar,Samkit
ps5004,shrutiputhran12@gmail.com,1,Puthran,Shruti
rm6883,mruke94@gmail.com,1,Ruke,Mohit
lj8978,jimitlakhani161@gmail.com,0,Lakhani,JIMIT
bm2930,manasasinghekar@gmail.com,0,Bhimaraya,Manasa
rv9729,r.vijayragavan63@gmail.com,1,R,Vijay
dm5323,manikantha92@gmail.com,1,Dronamraju,Manikantha
gj1031,contactjhalak@gmail.com,0,gupta,jhalak
jp9750,pjain802@gmail.com,0,jain,pratik
ga9243,ghuleamitr@gmail.com,0,Ghule,Amit
ps2137,praneethmacherla@gmail.com,1,Praneeth,Sai
ss2490,swarajoturkar1995@gmail.com,1,Shrikant,Swaraj
vn3640,nehavarshney8@gmail.com,1,Varshney,Neha
pm1612,mitulpala@gmail.com,0,Pala,Mitul
bn2094,neha.bhagwat94@gmail.com,1,Bhagwat,Neha
as8000,shubham.agarawal95@gmail.com,1,Agrawal,Shubham
pr5376,rrutuja.pai@gmail.com,1,Pai,Rutuja
nm9140,nadeemceg@gmail.com,1,NADEEM,MOHAMED
ja8607,asifjan1987@gmail.com,1,Jan,Asif
vl5853,lavanya.heretic@gmail.com,1,Verma,Lavanya
nr8350,rohithnagabhirava@gmail.com,0,Nagabhyrava,Rohith
rr5011,rishiraj.dutta3@yahoo.com,1,Raj,Rishi
ks2789,shrutidkotian@gmail.com,0,Kotian,Shruti
ss8712,shamik.gaitonde@gmail.com,1,Shashank,Shamik
as3886,sandesh.agrawal.1994@gmail.com,1,Agrawal,Sandesh
cb5570,bhavesh9597chouksey@gmail.com,0,Chouksey,Bhavesh
se4355,ekta.sirwani@gmail.com,1,Sirwani,Ekta
os2067,oakshweta11@gmail.com,0,Oak,Shweta
pv7177,varunpasari@yahoo.co.in,0,PASARI,VARUN
ss2080,sheelasathyanarayana@deloitte.com,1,Sathyanrayana,Sheela
rr3960,rahulbhat1203@yahoo.in,0,Ramanand,Rahul
vh2315,hitzver@gmail.com,1,verma,Hitesh
sk7321,kaustubhsshinde@gmail.com,1,Shinde,Kaustubh
sa3419,agrimasaraf.runu@hotmail.com,0,Saraf,Agrima
so7137,omai.r@me.com,0,Shafi,Omair
jr6977,rishjain15@gmail.com,1,Jain,Rishabh
sn9688,sharmanilank@gmail.com,0,Sharma,Nilank
ss1783,sreeragsreenath@gmail.com,0,Sreenath,Sreerag
sm5954,mitulshah95@gmail.com,0,Shah,Mitul
gh2938,harshit.g21@gmail.com,1,Gupta,Harshit
dn7308,nupurdeshpande11@gmail.com,1,Deshpande,Nupur
mk4019,munshikhilan@gmail.com,1,Munshi,Khilan
ph9899,harmanfiles@gmail.com,0,Preet,Harman
mm1107,markalamanvitareddy@gmail.com,0,Manvita,Markala
bk2564,ksbykadi@gmail.com,0,Bykadi,Krishnaswaroop
aa1223,ankushvenkatesh666@gmail.com,0,Asheley,Ankush
st1534,tanvisharma0595@gmail.com,1,Sharma,Tanvi
da2239,akhil131192@gmail.com,0,Dilip,Akhil
hv1826,visheshhemnani@gmail.com,1,Hemnani,Vishesh
un8410,nikhilupadhyayan@gmail.com,1,Upadhyaya,Nikhil
sc6790,shah.cha@husky.neu.edu,1,Shah,Chaitya
ma7103,aninditamaiti1992@gmail.com,1,Maiti,Anindita
ma3229,mahalaashutosh@live.com,0,Mahala,Ashutosh
mb9761,bhushan29.mohite@gmail.com,0,Mohite,Bhushan
rr5048,rathiromil13@gmail.com,0,Rathi,Romil
dd1922,darshildoshi95@gmail.com,0,Doshi,Darshil
ss7713,swapnil.shende@outlook.com,1,Shende,Swapnil
bs3307,sanjithbangera@gmail.com,1,Bangera,Sanjith
ka7655,akalele@gmail.com,1,Kalele,Aditya
tl9120,luvesht@gmail.com,0,Tekchandani,Luvesh
sd4475,Deepshikhasinha2525@gmail.com,1,Sinha,Deepshikha
pa7841,abhay-07@hotmail.com,0,Potharaju,Abhay
pa2105,ameypawar92@gmail.com,1,Pawar,Amey
tp7409,parthtandel0594@gmail.com,1,Tandel,Parth
sd5450,Deepshikhasinha2525@gmail.com,1,Sinha,Deepshikha
sp6024,parshva45@gmail.com,1,Shah,Parshva
vj7887,jackinvora@gmail.com,1,vora,Jackin
aa1893,amoghthali93@gmail.com,0,Asheley,Amogh
aa1069,aditya.apte3@gmail.com,0,Apte,Aditya
sd7220,divs_90@hotmail.com,0,Singh,Divya
sl9298,lohithshetty.628@gmail.com,0,Shetty,Lohith
mn1204,nischal.bhatewara@gmail.com,1,M,Nischal
ma7320,anupam.asava@outlook.com,0,Maheshwari,Anupam
cj1203,jchoksi05@gmail.com,0,Choksi,Jay
rp2300,prajwalparla@gmail.com,0,Ramesh,Prajwal
gn1532,nehagaikwad1108@gmail.com,0,Gaikwad,Neha
gs8497,sayaligaikawad@gmail.com,1,Gaikawad,Sayali
ka5022,karwarkar.aneesh@gmail.com,1,Karwarkar,Aneesh
bs9489,mech.barhate@gmail.com,0,Barhate,Shubham
ab8841,bhagyashree@gmail.com,0,A,Bhagyashree
sc6962,chintanshah2013@gmail.com,1,shah,Chintan
jc5031,chaitanyaj94@gmail.com,0,Joshi,Chaitanya
mh9843,harshsmehta1@gmail.com,1,Mehta,Harsh
nr7967,naik.rohan2311@gmail.com,1,Naik,Rohan
ts6060,thakkar.sapu@gmail.com,0,Thakkar,Swapnil
gr8127,rush.13595@gmail.com,0,Gandhi,Rushin
pa5087,adityalprabhu@gmail.com,1,Prabhu,Aditya
pn5356,patel.nirav435@gmail.com,0,Patel,Nirav
ps3880,shyam.padia930@gmail.com,1,Padia,Shyam
gp3125,pratik.gala@yahoo.in,1,Gala,Pratik
km2359,mustafa.s.kapadia@gmail.com,1,Kapadia,Mustafa
ds2783,sameermkvmblr@gmail.com,0,Desai,Sameer
rs6844,shubham.rastogi70@gmail.com,0,Rastogi,Shubham
sp9054,priyu16702@gmail.com,1,Singh,Priya
mb4765,bishishtam@gmail.com,0,Mukherje,Bishishta
ma6596,arvindmohan95@gmail.com,0,Mohan,Arvind
as7475,shwetashreya10@gmail.com,1,Atul,Shweta
vr9557,ruturajvn@gmail.com,1,vilas,Ruturaj
sa3369,shettyakshay118@gmail.com,0,Shetty,Akshay
ca3695,akash.chitrey@gmail.com,1,Chitrey,Akash
ga2148,ghule.a@husky.neu.edu,1,Ghule,Amit
gr7539,radhikagathia17@gmail.com,1,Gathia,Radhika
mk4509,kaustubhmathkar@gmail.com,1,Mathkar,Kaustubh
na6306,aniketdnandanwar@gmail.com,1,Nandanwar,Aniket
nr5414,ritesh.patil26@gmail.com,0,Narayan,Ritesh
bn4903,bhangalenehaymail@yahoo.in,0,Bhangale,Neha
sh9887,sharma1991harsh@gmail.com,1,Sharma,Harsh
kj3080,jaisoni@live.com,1,Kumar,Jai
sd8062,shetty.d@husky.neu.edu,0,Shetty,Dheeraj
sp7256,sahanipankaj2001@gmail.com,1,Sahani,Pankaj
al4036,lohithshetty.628@gmail.com,0,Asheley,Lohith
ad3627,dyuti.18@gmail.com,1,Ananthanarayanan,Dyuti
gu5207,urvanggaitonde93@gmail.com,1,gaitonde,urvang
tm1834,m.tarmale@gmail.com,1,Tarmale,Mayur
tv7360,vivintwilson@gmail.com,1,Thomas,Vivin
ua1373,aravinduthaman@gmail.com,0,U,Aravind
ks7895,shreyas1047@gmail.com,0,Krishna,Shreyas
ss2611,ayerhs.shreya@gmail.com,0,Sivakumar,Shreya
os3246,shivam.odeka@gmail.com,0,Odeka,Shivam
pm6343,mitulpala@gmail.com,0,Pala,Mitul
ga2186,ghildiyal.ashutosh@yahoo.com,1,Ghildiyal,Ashutosh
mn1535,naomimachado21@gmail.com,0,Machado,Naomi
sb4446,burhanuddin96@outlook.com,0,Sadliwala,Burhan
cd4435,darshit.chanpura@gmail.com,1,Chanpua,Darshit
jp2750,jain.preyank@gmail.com,0,Jain,Preyank
ck4752,chopra_kshitij@yahoo.co.in,0,Chopra,Kshitij
av9487,varun2012vs@gmail.com,1,Asheley,Varun.
ja8948,valentinesday142@gmail.com,1,Joyis,Akshatha
rv3135,vijayr1993@gmail.com,1,Rajagopalan,Vijay
pr8225,Rohanpatki1995@gmail.com,0,Patki,Rohan
ka1170,decibaldj@gmail.com,0,k,Ashish
ka8009,abhiruchi.karwa@gmail.com,1,Karwa,Abhiruchi
ga6821,akki.261129@gmail.com,1,Gujarathi,Akshay
rs3844,srinithi1308@gmail.com,1,Ramesh,Srinithi
bn6255,nikhilbdg@gmail.com,0,Badugu,Nikhil
ga2770,abhilashh92@gmail.com,0,G,Abhilash
jd7151,delwinjohn4@gmail.com,0,John,Delwin
pa6838,ameya.amp@gmail.com,0,Patankar,Ameya
lr4446,rutalad08@gmail.com,0,Lad,Ruta
as4991,oakshweta11@gmail.com,0,Asheley,Shweta
tp9961,prathameshtari04@gmail.com,1,Tari,Prathamesh
dp4096,pratikdevikar@gmail.com,0,Devikar,Pratik
vr4164,ruchir.vimawala@gmail.com,1,Vimawala,Ruchir
rs5829,shivankrai@gmail.com,0,Rai,Shivank
da3795,gavali.aishwarya63@gmail.com,1,Dilip,Aishwarya
kk6644,kaleketan07@gmail.com,0,Kale,Ketan
kv8695,viren_bhatia2000@yahoo.com,1,k,Viren
bk3077,kbaibhav@gmail.com,1,Baibhav,Kumar
ut1009,venkatasaitarunu@gmail.com,1,uppala,Tarun
rp6754,priyaranjan9090@gmail.com,1,ranjan,Priya
ac4951,kasliwal.c@husky.neu.edu,0,Asheley,Charchil
sc8982,chinmay.jomraj210@gmail.com,1,SUNIL,CHINMAY
ag2523,narayanangokul95@gmail.com,0,A,Gokul
